Hash,Message
a525602c4,Preparing for 1.2 release.
ca3d2ad73,Bump version up to version 1.3alpha
56a89e559,Include build.sh in the files whose permission are set and linendings adjusted.
e49a99496,Add some grouping to the Ant Javadoc generation. Not bad as an example usage of the group nested element too.
c7c880361,Added the propertyfile task which can manipulate property files.
cfaea6cf8,Make sure files get closed even when there is an exception.
e87623736,Documentation for native2ascii task
1375c85ac,javadoc correction to ExecTask
16a8fc3a5,Remove documentation for failonerror attribute of javadoc. It doesn't exist anymore.
1c5081e8a,Depend task
2f0034612,"Restore the -d flag for destdir when it is supplied. Whilst this is an option of the standard doclet, many other doclets also use it. For doclets which do not like it, simply do not provide a destdir attribute to the javadoc tag."
19fe1e5a6,Let users override whether the <junit> tasks fork or not (default is no).
bdad876fd,Fix minor type inip task
73db4788f,Reinstate javadoc's failonerror attribute.
6f1805072,Added an output attribute to <java>.
6103df477,Added a nested prefixedfileset element to <war>
2e15020c1,Fix SQLExec printing of results. It was using the return from getResultSet to indicate that there are no more result sets but I think it should have been using the result of getMoreResults(). I have made the appropriate change. I have also made changes to handle NULL results Reported by:	Johan Adel�w <johan.adelow@corustechnologies.com>
596d7e465,"Added error message if a single file specified by the file attribute is missing. Also fixed up the message indicating how many files are being copied to correctly use ""file"" and ""files""."
f4fc40805,Make SQLExec print its output at the task level rather than the single statement level. All output goes to the output file.
fd6b7a815,And correcting the documentation of includes versus <include> in the main branch as well.
f842127c5,Added pointer to the second mailing list archive.
f5817800d,Fixed typo. The joy of having two active branches: twice and only twice.
6f8e2d075,Update to reflect some of the other recent changes
7f80f383c,The initial checkin of antidote - the ant GUI.
5f4068bcc,"There are four compiler choices, not three."
a18fbb464,New task antlr. See www.antlr.org.
c70641243,Tow Antidote patches:
08eef4e8a,Changes to <propertyfile>
66d9c9949,Make <cab> support libcabinet on non-Windows platforms.
85d0355b5,Clean up this interface as it is not used in ant.
fd1d5f90f,Fix up date check on .ser files when the .txt input files are not in the root of the specified descriptor directory
29cc41735,Enable Antidote to select and run targets.
05bcfa85d,"A very nice set of VisualAge for Java integration tasks, originally written by Wolf Siberski.  A similar set of tasks was contributed by Peter Kelly, and they formed the inspiration for adding the VAJImport task."
2609a8bf0,"Added the vajload, vajexport, and vajimport tasks to the optional part of the task list."
bd6aa7e0b,Added support to _not_ compile the VisualAge for Java IDE integration classes unless the Workspace class is in the classpath.
8f65e70de,Added a new optional telnet task.
fdb394b4a,Updated documentation for cvs task.
590ea894d,"Patch to correctly import .java and resources files, and to add more verbose logging messages."
bd8fc7d5c,New tasks csc and ilasm for Microsoft's .NET SDK.
435e9dc9b,"Started work on the Ant Construction Set classes (ACS), which will map directly to DOM elements allowing easier manipulation of the XML and better editing of Ant projects. NB: The code currently requires the Sun JAXP library (which Ant needs anyway)."
a9cc5fd79,"Make the buildfile searching only start on demand, introduced a new command line argument -file."
d830141f7,Started addition of a generic Bean editor/property sheet and supporting infrastructure for Ant Elements.
8170daae4,"Greatly enhanced the property editor, adding new bean info for the element types and an additional property editor. The navigator now shows project, property, target and task nodes. PR: Obtained from: Submitted by: Reviewed by:"
6a6e0bd26,"Greatly enhanced the property editor, adding new bean info for the element types and an additional property editor. The navigator now shows project, property, target and task nodes. PR: Obtained from: Submitted by: Reviewed by:"
