Hash,Message
77c439386,Copy parser jars into the bootstrap and dist areas. Makes it easier to run Ant from the result of dist-lite
f3fd25705,The user list is high traffic
a37c2ec1d,checkstyle
9aa7c7ca7,"mail-archives should be used now, even if it doesn't work either"
5d4f445f3,Rename some enums ...
8bfcccf72,Announce 1.5.4
69f17eaa7,"Fix list names, two mails bounced for me"
bc95ec302,initial attempt to describe introspection based components
27d3bb5e6,fix selector example
aeee70243,remove unused copy method
ca5799fd8,Add ns support Also split Definer.java in a base class (DefBase) to allow it to be used for other defining tasks Also add AntlibInterface to allow antlib to set uri and classloader for other tasks/types that Definer.
8356d61ee,add in attribute uri for typedef
4ac2c2204,unit tests for namespace support PR: 19897 Submitted by:	Peter Reilly
cdd0ce944,enable assertions for <junit> the same way as <java> uses them
8213ae861,typeo use use -> use
7bc2a98ea,More Mono tests
737b60aca,Two of the files in 22326 PR: 22326 Obtained from: Martijn Kruithof Submitted by: Reviewed by:
0c43380c1,remove some deprecated methods and 1.1 holdovers Bugzilla: 22326
d51249cf5,execute mono instead of .EXE
72b6e42da,some 1.1 isms PR: 22326 Obtained from: Martijn Kruithof Submitted by: Reviewed by:
9434671ef,removing enum variable PR: 22345 Obtained from: Submitted by: Reviewed by:
fd5261936,removing enum variabe PR: 22345 Obtained from: Submitted by: Reviewed by:
d050f6a18,"remove enum variable PR: 22336 Obtained from: Robert Stupp, using Jan Mat��rne's checkstyle check"
6292cce47,enum change
a06d11ce9,make definitions work for Mono
7b67df2d9,2003
f2c13ef6e,fix head as DefBase.java is a new file
9c13b48a8,"files which are pointed to by symbolic links should be excluded if followsymlinks=""false"""
caeb8dad2,Adding tasks presetdef and macrodef
95e912bb7,adding doc for presetdef and macrodef
8ef34b8ed,some unittests for presetdef and macrodef
cadecc293,Add in Ant 1.6 javadocs for presetdef and macrodef
2a17990a7,add link to custom condition
c75bc0225,"Update AntRunner info, submitted by Dirk Schnelle"
8b13ca9c9,"Record default for <javac>'s verbose attribute, submitted by Larry Shatzer"
c16e1955f,"Go on working on the followsymlinks support in the FTP task. The scanner was working previously, but the retrieving of links was not working because the followsymlinks attribute was not passed through."
58968aaa6,Make <jjtree>'s outputdirectory and outputfile attributes work as expected (i.e. consistent with the command line of jjtree).
c9ddbafed,added comments concerning support of remote symbolic links in the ftp task
519d7ff69,changed the info concerning followsymlinks
4177bdb64,mistake found ... oops ... corrected
e3df11cc0,"Avoid ""useless use of cat"" award by using a real world example."
6cd58fa50,"Newer versions of Kaffe have a filesystem layout similar to Sun's VMs, don't exclude rt.jar and friends."
37a9ec1bc,"removed useless <property environment=""env""/>"
ad1b099b2,Add two new attributes timediffmillis and timediffauto for the ftp task so that the newer attribute can take into account time differences between local machine and remote server. PR: 19358
8da01e29d,Add blurb for Tom.
6f6769834,move same definition to AntTypeDefinition
95893de3f,implement sameDefinition for preset definition
4cd0b3011,make scriptdef an antlibbable definition derive from DefBase and use the uri for the name this change also provides the classloader attributes and elements from DefBase to ScriptDef use the DefBase classloader
53fec5102,stylecheck
63e0c0c38,make the fields private
0afe39c8f,"Add example for sourcepath=""""."
e211cf05f,macrodef changes:  * change nested element name from param to attribute    (now the same as scriptdef)  * expermintal testing for @attribute notation - controlled    by an attributeStyle attribute  * checking if correct attribute/element names are used  * samedefinition method overloaded
c7ec7ad1a,* add equality and similar methods for the ant definitions   used to check if a new definition overriding a previous   definition is actually the same definition via a ant or   antcall command * remove pointless check for antlib: in setUri
e61bd2d38,Date selector's behavior was inconsistent with the documentation PR: 22473 Submitted by: gudnabrsam at yahoo dot com
2f621e58e,One more place that mentions Ant's current version
4aabbc679,Move old releases to archive.apache.org
9cdb4ff79,"Add Tom's email address, fix typo"
1215e6b69,revise Release Instructions
861dc3bdd,fix numbering
7b4290a62,Added GnuPG key
f1a4a5147,"Changes to the constructor of EmailAddress(String address) to make it support addresses containing also the name such as name <address> or (name) address. This allows these syntaxes to be used in the attributes from, tolist, cclist, replyto of the email task. PR: 22474 Submitted by: Michael Davey ( michael dot davey at coderage dot org)"
744b5ec86,Added information about how to configure Winzip to see better what is in a war file Submitted by: Neil Pitman (neil dot pitman at sympatico dot ca)
219f98a89,Joe Ottinger asked me to add the JDJ award
